1: small
2: large
3: XXXlarge
4: Custom Test Data
5: Pokemon Dataset
3
What dataset file do you want to use?
Enter a valid number from 1-24:
10
Datasets/CS170_XXXlarge_Data__10.txt
Type the number of the algorithm you want to run.
1. Forward Selection
2. Backwards Elimination
1

prevBestAccuracy = 0
Using Features(s) {26, 45, 58, 78} while considering 9, the accuracy is 90.52%
Using Features(s) {26, 45, 58, 78} while considering 10, the accuracy is 90.05%
Using Features(s) {26, 45, 58, 78} while considering 11, the accuracy is 90.37%
Using Features(s) {26, 45, 58, 78} while considering 12, the accuracy is 89.75%
Using Features(s) {26, 45, 58, 78} while considering 13, the accuracy is 90.22%
Using Features(s) {26, 45, 58, 78} while considering 14, the accuracy is 90.37%
Using Features(s) {26, 45, 58, 78} while considering 15, the accuracy is 90.87%
Using Features(s) {26, 45, 58, 78} while considering 16, the accuracy is 90.4%
Using Features(s) {26, 45, 58, 78} while considering 17, the accuracy is 90.97%
Using Features(s) {26, 45, 58, 78} while considering 18, the accuracy is 90.75%
Using Features(s) {26, 45, 58, 78} while considering 19, the accuracy is 91.3%
Using Features(s) {26, 45, 58, 78} while considering 20, the accuracy is 90.95%
Using Features(s) {26, 45, 58, 78} while considering 21, the accuracy is 90.17%
Using Features(s) {26, 45, 58, 78} while considering 22, the accuracy is 90.72%
Using Features(s) {26, 45, 58, 78} while considering 23, the accuracy is 90.9%
Using Features(s) {26, 45, 58, 78} while considering 24, the accuracy is 90.57%
Using Features(s) {26, 45, 58, 78} while considering 25, the accuracy is 91%
Using Features(s) {26, 45, 58, 78} while considering 27, the accuracy is 91.47%
Using Features(s) {26, 45, 58, 78} while considering 28, the accuracy is 90.72%
Using Features(s) {26, 45, 58, 78} while considering 29, the accuracy is 90.8%
Using Features(s) {26, 45, 58, 78} while considering 30, the accuracy is 90.3%
Using Features(s) {26, 45, 58, 78} while considering 31, the accuracy is 90.8%
Using Features(s) {26, 45, 58, 78} while considering 32, the accuracy is 89.92%
Using Features(s) {26, 45, 58, 78} while considering 33, the accuracy is 90.65%
Using Features(s) {26, 45, 58, 78} while considering 34, the accuracy is 91.22%
Using Features(s) {26, 45, 58, 78} while considering 35, the accuracy is 90.95%
Using Features(s) {26, 45, 58, 78} while considering 36, the accuracy is 90.67%
Using Features(s) {26, 45, 58, 78} while considering 37, the accuracy is 90.32%
Using Features(s) {26, 45, 58, 78} while considering 38, the accuracy is 90.42%
Using Features(s) {26, 45, 58, 78} while considering 39, the accuracy is 90.42%
Using Features(s) {26, 45, 58, 78} while considering 40, the accuracy is 90.17%
Using Features(s) {26, 45, 58, 78} while considering 41, the accuracy is 91.12%
Using Features(s) {26, 45, 58, 78} while considering 42, the accuracy is 90.37%
Using Features(s) {26, 45, 58, 78} while considering 43, the accuracy is 90.25%
Using Features(s) {26, 45, 58, 78} while considering 44, the accuracy is 90.6%
Using Features(s) {26, 45, 58, 78} while considering 46, the accuracy is 90.67%
Using Features(s) {26, 45, 58, 78} while considering 47, the accuracy is 90.72%
Using Features(s) {26, 45, 58, 78} while considering 48, the accuracy is 91.7%
Using Features(s) {26, 45, 58, 78} while considering 49, the accuracy is 90.67%
Using Features(s) {26, 45, 58, 78} while considering 50, the accuracy is 91.32%
Using Features(s) {26, 45, 58, 78} while considering 51, the accuracy is 91.07%
Using Features(s) {26, 45, 58, 78} while considering 52, the accuracy is 91.15%
Using Features(s) {26, 45, 58, 78} while considering 53, the accuracy is 90.75%
Using Features(s) {26, 45, 58, 78} while considering 54, the accuracy is 90.8%
Using Features(s) {26, 45, 58, 78} while considering 55, the accuracy is 90.7%
Using Features(s) {26, 45, 58, 78} while considering 56, the accuracy is 91.32%
Using Features(s) {26, 45, 58, 78} while considering 57, the accuracy is 91.32%
Using Features(s) {26, 45, 58, 78} while considering 59, the accuracy is 90.17%
